station,line,date,total
인하대,수인선,2024-10-02,22030.0
일산,경의선,2024-05-03,28964.0
일원,3호선,2024-11-28,28405.0
임진강,경의선,2024-09-28,572.0
자양(뚝섬한강공원),7호선,2024-06-01,84702.0
잠실(송파구청),2호선,2024-04-06,258925.0
잠실나루,2호선,2025-04-11,38284.0
잠실새내,2호선,2024-05-18,64198.0
잠원,3호선,2024-05-10,13153.0
장승배기,7호선,2024-03-28,23993.0
장암,7호선,2025-04-29,5085.0
장지,8호선,2024-11-28,41194.0
장한평,5호선,2024-03-28,51161.0
전곡,경원선,2024-05-04,6354.0
정릉,우이신설선,2024-03-28,13525.0
정발산,일산선,2024-04-27,28080.0
정부과천청사,과천선,2025-01-15,48298.0
정왕,안산선,2024-11-28,26958.0
정자,분당선,2024-11-27,49846.0
제기동,1호선,2024-02-06,43488.0
제물포,경인선,2024-05-14,26863.0
종각,1호선,2025-04-03,104200.0
종로3가,1호선,2025-04-26,89825.0
종로5가,1호선,2025-04-26,63605.0
종합운동장,2호선,2024-06-13,76759.0
주안,경인선,2024-05-14,44212.0
주엽,일산선,2025-02-06,26254.0
죽전,분당선,2024-05-14,36919.0
중계,7호선,2024-10-02,38464.0
중곡,7호선,2024-03-28,27479.0
중동,경인선,2024-05-17,22564.0
중랑,중앙선,2024-03-28,13773.0
중앙,안산선,2024-11-28,49355.0
중앙보훈병원,9호선2~3단계,2025-05-13,29536.0
중화,7호선,2024-05-21,26063.0
증미,9호선,2024-03-28,20485.0
증산(명지대앞),6호선,2024-03-28,27844.0
지축,3호선,2025-04-30,18309.0
지평,중앙선,2024-06-07,348.0
지행,경원선,2024-05-17,16685.0
직산,경부선,2024-11-08,2691.0
진위,경부선,2024-11-27,4666.0
창동,4호선,2025-04-30,65947.0
창신,6호선,2024-03-28,8748.0
천마산,경춘선,2025-04-30,3841.0
천안,경부선,2024-11-09,19567.0
천왕,7호선,2025-05-13,27757.0
천호(풍납토성),5호선,2024-05-03,46473.0
철산,7호선,2024-05-03,53274.0
청구,6호선,2024-03-28,9670.0
청담,7호선,2024-03-28,48132.0
청라국제도시,공항철도 1호선,2024-09-27,18786.0
청량리(서울시립대입구),1호선,2025-01-24,54028.0
청명,분당선,2024-11-28,16010.0
청산,경원선,2024-09-27,459.0
청평,경춘선,2025-05-17,10757.0
초성리,경원선,2024-01-06,290.0
초월,경강선,2024-11-28,10785.0
초지,안산선,2024-11-28,13940.0
총신대입구(이수),4호선,2025-04-11,49760.0
춘의,7호선,2024-03-12,1.0
춘천,경춘선,2024-10-27,7271.0
충무로,4호선,2024-05-29,83573.0
충정로(경기대입구),2호선,2024-03-28,26580.0
탄현,경의선,2024-05-03,19135.0
탕정,장항선,2025-04-25,6086.0
태릉입구,7호선,2024-05-18,43353.0
태평,분당선,2024-11-27,30887.0
퇴계원,경춘선,2024-05-09,8597.0
파주,경의선,2024-10-08,3594.0
판교,경강선,2024-11-27,15370.0
팔당,중앙선,2024-04-13,3830.0
평내호평,경춘선,2025-04-11,16650.0
평촌,과천선,2024-11-28,48725.0
평택,경부선,2024-05-04,35831.0
평택지제,경부선,2024-11-28,11876.0
풍산,경의선,2024-11-01,14614.0
하계,7호선,2024-10-02,44712.0
하남검단산,5호선,2024-05-03,15888.0
하남시청(덕풍·신장),5호선,2024-05-14,21327.0
하남풍산,5호선,2025-04-04,11166.0
학동,7호선,2024-11-27,58806.0
학여울,3호선,2024-04-06,20265.0
한강진,6호선,2025-01-04,74728.0
한국항공대,경의선,2024-05-14,10494.0
한남,경원선,2025-01-04,24833.0
한대앞,안산선,2024-11-28,25421.0
한성대입구(삼선교),4호선,2025-04-11,40008.0
한성백제,9호선2~3단계,2024-11-03,14163.0
한양대,2호선,2024-05-22,47618.0
한티,분당선,2024-11-15,39655.0
합정,2호선,2025-04-11,87008.0
행당,5호선,2024-11-27,18928.0
행신,경의선,2024-03-15,20647.0
혜화,4호선,2024-12-20,94452.0
호구포,수인선,2024-11-28,10747.0
홍대입구,2호선,2025-03-22,218202.0
홍제,3호선,2024-03-28,52932.0
화계,우이신설선,2024-03-28,9840.0
화곡,5호선,2024-03-28,69005.0
화랑대(서울여대입구),6호선,2024-05-22,28706.0
화서,경부선,2024-01-27,56507.0
화전,경의선,2024-01-05,4214.0
화정,일산선,2024-05-10,44937.0
회기,중앙선,2024-03-28,73443.0
회룡,경원선,2025-04-11,32701.0
회현(남대문시장),4호선,2025-04-23,70437.0
효창공원앞,6호선,2024-03-28,19808.0
흑석(중앙대입구),9호선,2024-03-28,29833.0
